author,amount,content,likes,authorProfilePicture
"@Henryesst","€2,49","Bludotronioski had the most insane vision (OMG THIS IS THE MOST LIKES I GOT EVER GOT- OMG ITS EVERYWHERE) (OMMGGG 6K LIKES?!?!?! Im gonna eat a car tire if we reach 12K)","8,7 K","https://yt3.ggpht.com/TDCmfJL33NLogZAxt2DYW4g2Dwgihq4niUx7WapsJXyd9mCsVWIZzHvZLV4G6l2Z2Sp0lduZdg=s88-c-k-c0x00ffffff-no-rj"
"@LouisLim-h5e","IDR 20.000,00","Bro saw the future of brainrot️","9,1 K","null"
"@Blinkxly1987","MX$50,00","They warned us they warned me","7,2 K","null"
"@rmimpact","AU$2,99","Bloodswasti HAD A VISOON  ️️HE predicted the future ️  ","1,5 K","null"
"@Jaydeegaming123","PHP 50,00","Hawk tuah","5,7 K","null"
"@Cat_Two13","£1,99","Erm, actually, he probably just changed the name of the video in 2024! (He probs didn’t but yuh) edit: GUYS STOP BEEFING WITH ME I LITERALLY SAID HE PROBS DIDN'T ","3,5 K","null"
"@Lintgi","€10,00","He ain't calling Harvard  Harvard calling him","6,2 K","https://yt3.ggpht.com/ytc/AIdro_k72kUK-NdEdKfvEjJEUjhKu5jOpxP8mcXuVAfdnchHTvhLLwVeyihENTDtYpKNM5EVmA=s88-c-k-c0x00ffffff-no-rj"
"@zakirsiddiqui-oo4ur","₹40,00","Why, am i supposed to answer such a dumb question like this ???  ","1 K","null"
"@tolnaimagdolna6268","HUF 400","Ai will take over the world ye ye i believe ","1,9 K","https://yt3.ggpht.com/ytc/AIdro_n-GROgGYf7a8jwWRLlgWXjY27HvKFLCyl7rTBj7E25pA=s88-c-k-c0x00ffffff-no-rj"
"@Blinkxly1987","MX$50,00","He should have taken the ship portal ","8 K","https://yt3.ggpht.com/D6VU0L2HXA32biG_clnJ9_FjKd1Qy6XtX6ExyVw3DzpldbtW_ou-8PQLZYBVB4JLc-k8AGchqw=s88-c-k-c0x00ffffff-no-rj"
"@Blinkxly1987","MX$50,00","Maybe creepers sacrifice themselves to defend their land  Minecraft has teached us many of","4,8 K","https://yt3.ggpht.com/D6VU0L2HXA32biG_clnJ9_FjKd1Qy6XtX6ExyVw3DzpldbtW_ou-8PQLZYBVB4JLc-k8AGchqw=s88-c-k-c0x00ffffff-no-rj"
"@qaritel","$1,99","someone dared to steal my donation spot","847","null"
"@qaritel","$1,99","maybe thats a fact??  edit: yall stop… ive never gotten over like 200 likes, yall are crazy!!!","725","null"
"@tolnaimagdolna6268","HUF 400","Faxs bro","267","https://yt3.ggpht.com/ytc/AIdro_n-GROgGYf7a8jwWRLlgWXjY27HvKFLCyl7rTBj7E25pA=s88-c-k-c0x00ffffff-no-rj"
"@PurpleCEO","$4,99","“I saw mommy kissing Santa Claus last night” ahh","545","https://yt3.ggpht.com/x9DsQG1smiFNAKbBvdhAbKi4yqWVgtlmFyy7ZAEnFdB8dM4YG_Pf3MyEv_ZknrQSYVANJTrKCw=s88-c-k-c0x00ffffff-no-rj"
"@Xeno-Mann","$1,99","How does bro know","188","null"
"@Blinkxly1987","MX$50,00","What time is it?  time!","119","null"
"@PatnapaPra","฿40,00","ขอขอบคุณ","118","null"
